sample_id	dpi	treatment
ERR10802864	1	cathemerium
ERR10802867	1	cathemerium
ERR10802870	1	cathemerium
ERR10802866	1	control
ERR10802869	1	control
ERR10802863	1	control
ERR10802871	1	relictum
ERR10802874	1	relictum
ERR10802865	1	relictum
ERR10802868	1	relictum
ERR10802882	10	cathemerium
ERR10802875	10	cathemerium
ERR10802879	10	cathemerium
ERR10802883	10	cathemerium
ERR10802878	10	control
ERR10802884	10	control
ERR10802877	10	control
ERR10802881	10	control
ERR10802876	10	relictum
ERR10802880	10	relictum
ERR10802885	10	relictum
ERR10802886	10	relictum
