sample_id	time	treatment
ERR10802882	10d	cathemerium
ERR10802875	10d	cathemerium
ERR10802879	10d	cathemerium
ERR10802883	10d	cathemerium
ERR10802878	10d	control
ERR10802884	10d	control
ERR10802877	10d	control
ERR10802881	10d	control
ERR10802876	10d	relictum
ERR10802880	10d	relictum
ERR10802885	10d	relictum
ERR10802886	10d	relictum
ERR10802864	24h	cathemerium
ERR10802867	24h	cathemerium
ERR10802870	24h	cathemerium
ERR10802866	24h	control
ERR10802869	24h	control
ERR10802863	24h	control
ERR10802871	24h	relictum
ERR10802874	24h	relictum
ERR10802865	24h	relictum
ERR10802868	24h	relictum
